"按地区分组的非金属矿物制品业工业企业主要经济指标（1999年）单位：亿元",按地区分组的非金属矿物制品业工业企业主要经济指标（1999年）单位：亿元,按地区分组的非金属矿物制品业工业企业主要经济指标（1999年）单位：亿元,按地区分组的非金属矿物制品业工业企业主要经济指标（1999年）单位：亿元,按地区分组的非金属矿物制品业工业企业主要经济指标（1999年）单位：亿元,,,,,,地区,企业单位个数（个）,工业总产值（现行价格）,工业增加值,固定资产净值,产品销售收入,利润总额,税金总额,全部从业人员平均人数（万人）
"地区",企业单位个数（个）,工业总产值（现行价格）,工业增加值,固定资产净值,产品销售收入,利润总额,税金总额,全部从业人员平均人数（万人）,,地区,企业单位个数（个）,工业总产值（现行价格）,工业增加值,固定资产净值,产品销售收入,利润总额,税金总额,全部从业人员平均人数（万人）
"地区",企业单位个数（个）,工业总产值（现行价格）,工业增加值,固定资产净值,产品销售收入,利润总额,税金总额,全部从业人员平均人数（万人）,,全国,14366,3394.64,1004.6,2731.79,3045.14,40.64,186.63,434
"全国",14366,3394.64,1004.6,2731.79,3045.14,40.64,186.63,434,,,,,,,,,,
"",,,,,,,,,,北京,338,86.99,27.82,80.31,81.760000000000005,0.91,4.83,10.130000000000001
"北京",338,86.99,27.82,80.31,81.760000000000005,0.91,4.83,10.130000000000001,,天津,207,37.17,5.95,35.04,34.14,-1.43,1.48,4.34
"天津",207,37.17,5.95,35.04,34.14,-1.43,1.48,4.34,,河北,870,198.39,66.099999999999994,168.98,173.83,8.41,11.63,29.65
"河北",870,198.39,66.099999999999994,168.98,173.83,8.41,11.63,29.65,,山西,329,43,15.54,59.24,36.869999999999997,-0.69,3.27,10.220000000000001
"山西",329,43,15.54,59.24,36.869999999999997,-0.69,3.27,10.220000000000001,,内蒙古,133,20.51,8.11,25.92,18.48,0.88,1.39,4
"内蒙古",133,20.51,8.11,25.92,18.48,0.88,1.39,4,,,,,,,,,,
"",,,,,,,,,,辽宁,540,155.80000000000001,37.83,134.05000000000001,132.94,1.29,8.16,18.46
"辽宁",540,155.80000000000001,37.83,134.05000000000001,132.94,1.29,8.16,18.46,,吉林,240,44.55,14.73,51.42,40.369999999999997,0.5,2.4700000000000002,8.5299999999999994
"吉林",240,44.55,14.73,51.42,40.369999999999997,0.5,2.4700000000000002,8.5299999999999994,,黑龙江,258,43.85,13.12,44.32,41.34,-0.15,3.16,9.09
"黑龙江",258,43.85,13.12,44.32,41.34,-0.15,3.16,9.09,,,,,,,,,,
"",,,,,,,,,,上海,361,117.65,29.66,88.51,115.71,1.42,4.8,6.76
"上海",361,117.65,29.66,88.51,115.71,1.42,4.8,6.76,,江苏,1220,342.03,87.55,220.06,309.45999999999998,3.5,17.18,36.409999999999997
"江苏",1220,342.03,87.55,220.06,309.45999999999998,3.5,17.18,36.409999999999997,,浙江,573,195.13,52.61,128.02000000000001,183.26,4.37,10.83,16.32
"浙江",573,195.13,52.61,128.02000000000001,183.26,4.37,10.83,16.32,,安徽,369,79.97,26,83.05,74.53,-0.33,5.09,13.93
"安徽",369,79.97,26,83.05,74.53,-0.33,5.09,13.93,,福建,601,120.88,40.08,100.82,109.76,4.41,7.38,12.29
"福建",601,120.88,40.08,100.82,109.76,4.41,7.38,12.29,,江西,372,46.65,14.97,55.98,41.17,-1.24,3.23,12.4
"江西",372,46.65,14.97,55.98,41.17,-1.24,3.23,12.4,,山东,1098,406.49,120.53,232.81,337.54,15.84,19,39.33
"山东",1098,406.49,120.53,232.81,337.54,15.84,19,39.33,,,,,,,,,,
"",,,,,,,,,,河南,1311,279.64999999999998,90.39,168.65,247.09,9.0399999999999991,14.45,38.270000000000003
"河南",1311,279.64999999999998,90.39,168.65,247.09,9.0399999999999991,14.45,38.270000000000003,,湖北,882,165.86,56.63,95.81,145.86000000000001,3,7.89,21.93
"湖北",882,165.86,56.63,95.81,145.86000000000001,3,7.89,21.93,,湖南,661,103.11,30.38,90.15,92.83,-2.4300000000000002,7.15,22.73
"湖南",661,103.11,30.38,90.15,92.83,-2.4300000000000002,7.15,22.73,,广东,1503,496.57,131.19,406.99,448.64,-4.37,22.14,39.06
"广东",1503,496.57,131.19,406.99,448.64,-4.37,22.14,39.06,,广西,367,59.47,16.690000000000001,82.05,56.88,-4.1100000000000003,4.32,11.84
"广西",367,59.47,16.690000000000001,82.05,56.88,-4.1100000000000003,4.32,11.84,,海南,49,8.6199999999999992,0.52,22.66,8.0500000000000007,-2.2200000000000002,0.32,0.91
"海南",49,8.6199999999999992,0.52,22.66,8.0500000000000007,-2.2200000000000002,0.32,0.91,,,,,,,,,,
"",,,,,,,,,,重庆,265,47.3,15.18,54.75,43.3,0.49,3.79,9.01
"重庆",265,47.3,15.18,54.75,43.3,0.49,3.79,9.01,,四川,548,112.77,37.29,98.28,104.2,1.86,8.66,21.24
"四川",548,112.77,37.29,98.28,104.2,1.86,8.66,21.24,,贵州,228,23.19,8.61,26.55,20.89,-0.05,1.72,5.88
"贵州",228,23.19,8.61,26.55,20.89,-0.05,1.72,5.88,,云南,248,45.26,17.2,52.31,42.97,-0.6,3.95,7.13
"云南",248,45.26,17.2,52.31,42.97,-0.6,3.95,7.13,,西藏,27,2.88,1.3,4.22,2.5,0.28000000000000003,0.2,0.45
"西藏",27,2.88,1.3,4.22,2.5,0.28000000000000003,0.2,0.45,,,,,,,,,,
"陕西",230,35.72,11.15,36.950000000000003,31.83,-1.03,2.5499999999999998,8.2799999999999994,,,,,,,,,,
"甘肃",277,33.64,12.1,31.81,29.42,1.1299999999999999,2.71,8.1300000000000008,,,,,,,,,,
"青海",59,6.15,2.04,6.45,5.25,-0.33,0.43,1.52,,,,,,,,,,
"宁夏",58,7.73,2.52,10.029999999999999,7.45,-0.14000000000000001,0.57999999999999996,1.64,,,,,,,,,,
"新疆",144,27.66,10.79,35.58,26.82,2.44,1.85,4.1399999999999997,,,,,,,,,,
